file,number of assertions
gnu.py, 1
g95.py, 0
fujitsu.py, 0
environment.py, 0
compaq.py, 0
absoft.py, 0
__init__.py, 5
extension.py, 1
exec_command.py, 1
cpuinfo.py, 0
core.py, 0
conv_template.py, 0
sdist.py, 0
install_headers.py, 0
install_data.py, 0
install_clib.py, 0
install.py, 0
egg_info.py, 0
develop.py, 0
config_compiler.py, 0
config.py, 0
build_src.py, 0
build_scripts.py, 0
build_py.py, 0
build_ext.py, 0
build_clib.py, 0
build.py, 0
bdist_rpm.py, 0
autodist.py, 0
__init__.py, 1
ccompiler_opt.py, 20
ccompiler.py, 0
_shell_utils.py, 2
__init__.py, 0
ctypeslib.py, 0
umath_tests.py, 0
umath.py, 0
shape_base.py, 0
setup_common.py, 0
setup.py, 0
records.py, 0
overrides.py, 1
numerictypes.py, 0
numeric.py, 3
multiarray.py, 0
memmap.py, 0
machar.py, 0
getlimits.py, 0
function_base.py, 0
fromnumeric.py, 0
einsumfunc.py, 0
defchararray.py, 0
cversions.py, 0
ufunc_docstrings.py, 3
numpy_api.py, 0
generate_umath.py, 2
generate_ufunc_api.py, 0
generate_numpy_api.py, 0
genapi.py, 0
__init__.py, 0
arrayprint.py, 3
_ufunc_config.py, 0
_type_aliases.py, 0
_string_helpers.py, 0
_methods.py, 0
_internal.py, 0
_exceptions.py, 2
_dtype_ctypes.py, 0
_dtype.py, 0
_asarray.py, 0
_add_newdocs_scalars.py, 0
_add_newdocs.py, 0
__init__.py, 0
conftest.py, 0
setup.py, 0
py3k.py, 0
_inspect.py, 0
__init__.py, 0
_version.py, 1
_pytesttester.py, 0
_globals.py, 0
_distributor_init.py, 0
__init__.py, 0
matplotlib3.py, 0
matplotlib2.py, 0
matplotlib1.py, 0
plot_reconstructed.py, 0
plot_gray_svd.py, 0
plot_gray.py, 0
plot_final.py, 0
plot_face.py, 0
plot_approx.py, 0
simd-optimizations.py, 2
performance.py, 0
setup_example.py, 0
conf.py, 1
postprocess.py, 0
build_index.py, 0
nep-0016-benchmark.py, 0
conf.py, 0
example.py, 0
numpyfilter.py, 0
common.py, 0
bench_ufunc_strides.py, 0
bench_ufunc.py, 0
bench_trim_zeros.py, 0
bench_shape_base.py, 0
bench_scalar.py, 0
bench_reduce.py, 0
bench_records.py, 0
bench_random.py, 0
bench_overrides.py, 0
bench_ma.py, 0
bench_linalg.py, 0
bench_lib.py, 0
bench_itemselection.py, 0
bench_io.py, 0
bench_indexing.py, 0
bench_import.py, 0
bench_function_base.py, 0
bench_core.py, 0
bench_array_coercion.py, 0
bench_app.py, 0
__init__.py, 0
asv_pip_nopep517.py, 0
